AccountName,PageRank
arseblagger,0.000611163841539
LutonTown,0.000601969769597
_FPLtips,0.000598151863792
12Xpert,0.00059634408883
HudlAnalysis,0.000595767325823
FPL_gaffer,0.000595719544079
ARDataAnalysis,0.000594843127228
JCourier1,0.00059442367627
cchappas,0.000592418013544
Sportlogiq,0.000590316826607
SteveBeregi,0.000586968448134
TheKopHQ,0.000583526716567
MarchSimon,0.000582734421219
joedgallagher,0.000581767258655
NutmegRadio,0.000578657965123
JakeEntwistle,0.000574733427819
SemperFiArsenal,0.000571145387265
Legomane_FPL,0.000567039102798
TomPayneftbl,0.000566854960114
FPL_Tim,0.000564587734212
jameso_12,0.000562931692778
AIUnderPressure,0.000561230256498
andrew_puopolo,0.000557621418616
mr_le_fox,0.00055698616084
ToffeeAnalysis,0.000556979556342
kevinminkus,0.000554242904774
markrstats,0.000552203979286
TomDecroos,0.000552136984604
JoshuaABull,0.000551312262789
FootballSlices,0.000548592191457
MessiSeconds,0.000548341052617
IneffectiveMath,0.000547527463224
trippier2,0.000547159892927
AndyGlockner,0.00054651866404
ArsenalColumn,0.000544528438775
Fanteam_UK,0.000544372889246
Dunmoreorless,0.000539645630047
fussballtwit,0.000539386803391
FPLAcademica,0.000537989520013
HandofArteta,0.000537385953642
ArsenalTerje,0.000536505941833
MaitlandNiles,0.000536445643447
MatrixFpl,0.000534992520596
JamesTippett,0.0005344783025
SteMc74,0.000533346728378
FC_Python,0.000533309399939
HLTCO,0.000531302031369
R_by_Ryo,0.000530662056799
PaulMacdFC,0.000530605944529
MrArsenicTM,0.000529448772021
luishusier,0.000528205999667
AbdelBeheri,0.000528190393638
PieterZwartNL,0.000527815568449
brendankent,0.000526286751712
Matt5cott,0.000524963837457
LacaZte,0.000524331714585
FPLJossy,0.000523788974128
LotteBransen,0.000520596214163
FPLShark,0.000516709473672
uncertainty_pod,0.000515049952851
Artekkers,0.000514281929719
louorns,0.000513291789164
RPftbl,0.000512700899008
AAllenSport,0.00051210609108
matchcharting,0.000509966633948
tongueinloftus,0.000508674824355
Eoin_OBrien_,0.000507299919842
From_The_Wing,0.000503996469404
MattKearney92,0.000501082051759
noverheul,0.000499678023664
NilsMackay,0.000498381249622
DymondFormation,0.000497086298428
bertinbertin,0.0004930660542
Robertson_SJ,0.00049212949222
JWTelegraph,0.000491667719855
JamieDalton82,0.000491585457207
MartonBalla1,0.000491396354868
FPLCanuck,0.000489897714471
DyslexicDdue,0.000486198556246
RotationFPL,0.000484818512698
jessejdavis1,0.000483603478023
360Sources,0.000479510195056
LUFCDATA,0.000478107081626
